t,balanced_sigma,growth_rate,M_norm,parent_M_norm
135,0.12,0.0003,0.7802679018131814,1.836873417711883
136,0.12,0.0003,0.7578877782036394,1.836873417711883
137,0.12,0.0003,0.7684806613721376,1.836873417711883
138,0.12,0.0003,0.7634987508453218,1.836873417711883
139,0.12,0.0003,0.8236405645183351,1.836873417711883
140,0.12,0.0003,0.8522610542597746,1.836873417711883
141,0.12,0.0003,0.86361912094933,1.836873417711883
142,0.12,0.0003,0.9045693862549252,1.836873417711883
143,0.12,0.0003,0.864462300848519,1.836873417711883
144,0.12,0.0003,0.8889124551097608,1.836873417711883
145,0.12,0.0003,0.8978904631690534,1.836873417711883
146,0.12,0.0003,0.8155815552030582,1.836873417711883
147,0.12,0.0003,0.8418668362440945,1.836873417711883
148,0.12,0.0003,0.8851141780540278,1.836873417711883
149,0.12,0.0003,0.8228251434055425,1.836873417711883
150,0.12,0.0003,0.7980267941539212,1.836873417711883
151,0.12,0.0003,0.759256248376865,1.836873417711883
152,0.12,0.0003,0.8441944536279309,1.836873417711883
153,0.12,0.0003,0.788610566586022,1.836873417711883
154,0.12,0.0003,0.78980634563769,1.836873417711883
155,0.12,0.0003,0.821370374432911,1.836873417711883
156,0.12,0.0003,0.7816926396712602,1.836873417711883
157,0.12,0.0003,0.7475155605584399,1.836873417711883
158,0.12,0.0003,0.68953861856923,1.836873417711883
159,0.12,0.0003,0.6788097175835593,1.836873417711883
160,0.12,0.0003,0.6393445161940388,1.836873417711883
161,0.12,0.0003,0.6334699194508084,1.836873417711883
162,0.12,0.0003,0.5912068746090396,1.836873417711883
163,0.12,0.0003,0.6037995980784018,1.836873417711883
164,0.12,0.0003,0.6613496420687924,1.836873417711883
165,0.12,0.0003,0.6569700671958429,1.836873417711883
166,0.12,0.0003,0.7152541590128407,1.836873417711883
167,0.12,0.0003,0.7275170093452473,1.836873417711883
168,0.12,0.0003,0.7713682020955808,1.836873417711883
169,0.12,0.0003,0.7958089564157492,1.836873417711883
170,0.12,0.0003,0.8104045273607632,1.836873417711883
171,0.12,0.0003,0.8070986123425833,1.836873417711883
